id,question,eventId,slug,conditionId,startDate,endDate,closedTime,category,liquidityNum,volumeNum,prob_yes,prob_no,lastTradePrice,bestBid,bestAsk,active,closed,marketType,fpmmLive,resolutionSource,clobTokenIdYes,clobTokenIdNo,t_resolve,duration_days,tailend_label,tailend_token
248385,"Will Biden be impeached by June 30, 2023?",901189.0,will-biden-be-impeached-by-june-30-2023,0x7bb90b216f9686eeec780ca9cc89757080e613c3973ecfb64c7b6348d258ee1d,2023-01-13 22:36:02+00:00,2023-06-30 00:00:00+00:00,2023-07-01 06:02:49+00:00,,25.010000228881836,26212.48046875,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,83397941921678775177683698896713734782694378595265047324995459758729944336733,54376193854027976185359139865055464685675647818930004480778101848362114898677,2023-07-01 06:02:49+00:00,168.0,winner,no
248488,Will George Santos remain in Congress through March 31?,901222.0,will-george-santos-remain-in-congress-through-march-31,0x0e2e0daf4bd99e12d1ef7f4b5409e50aa1111e006a6a2b538ea3b31287f46759,2023-01-27 00:00:00+00:00,2023-03-31 00:00:00+00:00,2023-04-01 08:05:32+00:00,,25.010000228881836,7181.669921875,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,28751449130778274410846639334728311085824681864411079618339288081485173284401,108087534395094289789949925013940931237669025025876936250100064112132183733961,2023-04-01 08:05:32+00:00,64.0,winner,yes
248657,Will the WHO declare a Public Health Emergency for H5N1 influenza by June 30?,901265.0,will-the-who-declare-a-public-health-emergency-for-h5n1-influenza-by-june-30,0x5f775cfb745ffb17eb91539961d5cbd2f4ad415ce96f26d3ea56d7220a54df32,2023-03-26 04:05:46+00:00,2023-06-30 00:00:00+00:00,2023-07-01 06:16:16+00:00,,25.0,5064.740234375,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,https://www.who.int/,112737777737241499194838771598738928732681076811134491499044597562276104822535,4659938995164610138433484593590099117040183462896800094735329779479360661346,2023-07-01 06:16:16+00:00,97.0,winner,no
248810,Will USDC redemption or minting be halted in the U.S. by April 30?,901297.0,will-usdc-redemption-or-minting-be-halted-in-the-us-by-april-30,0xa4327fa7fc306ac5bcbb7ad564486b2bc303e37afff4ba03830b92bdec7af969,2023-02-17 19:23:02+00:00,2023-04-30 00:00:00+00:00,2023-05-01 20:19:32+00:00,,25.010000228881836,40175.1796875,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,73950267659809788179116099742757144480677506827980903019633755837215978435254,56202067672644504254141496596821571817214880029447073349989151145401173560464,2023-05-01 20:19:32+00:00,73.0,winner,no
248814,Will ChatGPT remain free through April 30?,901301.0,will-chatgpt-remain-free-through-april-30,0x75aceca47749cd399c510fcf0154704810deed782b05d3c32e0277100c933a9f,2023-02-16 15:49:02+00:00,2023-04-30 00:00:00+00:00,2023-05-01 06:05:21+00:00,,50.0099983215332,15060.8095703125,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://openai.com/blog/chatgpt/,51088005724402597145781535433773790535581518117145743070797171694582939654899,25956985944091741723191793964790262630754845706231032579788980721944986268441,2023-05-01 06:05:21+00:00,73.0,winner,yes
248824,Will there be a Senate vacancy in Pennsylvania by EOY?,901309.0,will-there-be-a-senate-vacancy-in-pennsylvania-by-eoy,0xacb2aabc6f3fead7c19d52a2b82dc4438ba9589e1ff941da4622e59a4819e0c1,2023-02-16 20:58:09+00:00,2023-12-31 00:00:00+00:00,2024-01-01 08:32:44+00:00,,1584.9100341796875,5848.18017578125,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,57799010478442185186541101940219441451580652511487999095465280793256099865060,81347501698120116916167526881389993665530258702224869565300630059944140685798,2024-01-01 08:32:44+00:00,318.0,winner,no
248831,Will Russia use a nuclear weapon by June 30?,901312.0,will-russia-use-a-nuclear-weapon-by-june-30,0x4f962e881c8f9c2fef18e8ba5fc142d8f66b0e3f8ed68a6ecbe5eb1da260e947,2023-02-18 14:27:27+00:00,2023-06-30 00:00:00+00:00,2023-07-01 06:03:39+00:00,,5.739999771118164,63118.171875,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,11714409342849351387756988183545851496850420798548445789998181252740156582506,13521229017299992020054246254114603733263554459568400636237796321315938181474,2023-07-01 06:03:39+00:00,132.0,winner,no
248836,Will the Fed cut rates in 2023?,901317.0,will-the-fed-cut-rates-in-2023,0xe3c42f6d6223c0355d7183ce2405e8b2e2456c536049ace975ec9f0622032a28,2023-02-21 18:29:15+00:00,2023-12-31 00:00:00+00:00,2024-01-01 07:20:07+00:00,,13.079999923706055,272977.90625,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,https://www.federalreserve.gov/monetarypolicy/openmarket.htm,111217048893715148157293144589148822103495183890716026407706555406529831978704,46488845053814239550329716747192174658319884883435178911240212665914360946200,2024-01-01 07:20:07+00:00,313.0,winner,no
249037,zkSync airdrop by June 1?,901374.0,zksync-airdrop-by-june-1,0x9cc8bbc6ae0f356b0c99ef862bd49577f168645da938911549da68f5ba049649,2023-03-08 19:34:18+00:00,2023-06-01 00:00:00+00:00,2023-06-02 06:17:32+00:00,,28.8700008392334,80204.2109375,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,64530256692770493741616758329004232452735267114796932386033501933292886503388,21201129739587299147275727753263534641072025588284106584050292878396252335735,2023-06-02 06:17:32+00:00,85.0,winner,no
249080,Will Tiktok be banned in the US by May 31?,901385.0,will-tiktok-be-banned-in-the-us-by-may-31,0x8f2f1628a6efa95fba5f57efd35b9151a83939a713fc5eeaa0dd875a3da8d7d8,2023-03-23 19:51:48+00:00,2023-05-31 00:00:00+00:00,2023-06-01 08:32:17+00:00,,239.52000427246094,8984.33984375,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,978428755028742685880051665628858460723604794895162811212160670329027942144,4900891873083130778370848382466952476171211004849723723361528565043682074253,2023-06-01 08:32:17+00:00,69.0,winner,no
249092,Will $USDT depeg by June 30?,901390.0,will-usdt-depeg-by-june-30,0xf7ed6c85a5a90b2c5e893d557b5ce825cf3b4a589e3bfbf50324da18a892cea3,2023-03-30 16:28:41+00:00,2023-06-30 00:00:00+00:00,2023-07-01 06:19:22+00:00,,0.8199999928474426,106144.7421875,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,https://www.coinbase.com/advanced-trade/USDT-USD,102641130098713705789683652578216506312173485584357781170608141015973161077848,113137436545461867087126712969636508801371771086898877523999768919607926611691,2023-07-01 06:19:22+00:00,92.0,winner,no
249373,Balaji Bet: BTC > $1m USD on June 17?,901457.0,balaji-bet-btc-1m-usd-on-june-17,0xa5b976b27bbb180578d715c698581a522be28d6ac38bed8271e000eebe4aacec,2023-03-17 21:38:14+00:00,2023-06-17 00:00:00+00:00,2023-06-18 06:31:33+00:00,,1905.3199462890625,379670.3125,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,45119942360613501276448871752367029683792848982091072277626429752448277797800,36150780445770257274225588631095507073871572529581834922206409083335892866528,2023-06-18 06:31:33+00:00,92.0,winner,no
249576,Will CZ be arrested by April 30?,901522.0,will-cz-be-arrested-by-april-30,0xe3e4ccdc8344b87b31acb72be34a55a64088e2f4d777b5faf539651eca327c2d,2023-03-27 19:29:29+00:00,2023-04-30 00:00:00+00:00,2023-05-01 06:34:18+00:00,,632.2999877929688,22255.189453125,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,63489187872302653022620273556084190429472667388633833792360541891316654480040,101071228328676256115614033849283798596381691661176205421682364310228569082112,2023-05-01 06:34:18+00:00,34.0,winner,no
249613,Will Binance.US shut down by April 30?,901532.0,will-binanceus-shut-down-by-april-30,0xfd160845a56e4fcbbade27d8cfb0ebe6e3c2de76e0c3c224a0bbbd639c7b8611,2023-03-27 23:46:33+00:00,2023-04-30 00:00:00+00:00,2023-05-01 06:20:22+00:00,,346.5899963378906,3431.47998046875,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,85699381652904553415467546035671539777068405880117391339040352175251621774330,22787930985825665610030473790804637375419312288416244040105303873025941718306,2023-05-01 06:20:22+00:00,34.0,winner,no
249700,Sui Airdrop by May 15?,901469.0,sui-airdrop-by-may-15,0x150394ee8ac690c4d3ac353158ed4dac01a72234b4b4086c66dab4ef3ebfd2f9,2023-03-28 14:58:07+00:00,2023-05-15 00:00:00+00:00,2023-05-12 12:20:38+00:00,,0.3100000023841858,195617.453125,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,113922223572507811254222597151117692096127645861390884168660789732030750917920,32242861471223659272764776008279204776842464775976093975493535593293535598096,2023-05-12 12:20:38+00:00,44.0,loser,no
249701,MetaMask airdrop by June 1?,901555.0,metamask-airdrop-by-june-1,0x0bbbced3104ba2d7e2cda0afe7225b43165ac07c46ee87c380d69aaea02e8b8c,2023-03-28 14:57:52+00:00,2023-06-01 00:00:00+00:00,2023-06-02 06:04:07+00:00,,534.47998046875,16905.91015625,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,https://metamask.io/,31730279589302179629641903281764053405401879989081564091063317494155023986371,45439286880773569729601582316410951004661498091574059770692984223889533000033,2023-06-02 06:04:07+00:00,65.0,winner,no
249754,Will Sam Altman testify before congress by May 31?,901553.0,will-sam-altman-testify-before-congress-by-may-31,0x54046e971721c08e3977d0b8c19a4739998b7ff7de3cfe17a0c270ae318b7a98,2023-03-30 17:06:03+00:00,2023-05-31 00:00:00+00:00,2023-05-16 16:33:59+00:00,,1.0,7354.7099609375,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,53703884126068337812695218848713483265714786713869821834358164498525218398390,53018613830538486562499942402634011719781654816448641053768958385625516144450,2023-05-16 16:33:59+00:00,46.0,loser,no
249887,Will @realDonaldTrump tweet by June 1?,901587.0,will-realdonaldtrump-tweet-by-june-1,0x0224c7c9855fa054a87f7df46f58f8bf3249359257d8da9557bd6b82c9fe56f0,2023-04-04 16:10:11+00:00,2023-06-01 00:00:00+00:00,2023-06-02 06:03:43+00:00,,175.5,975.989990234375,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,https://twitter.com/realdonaldtrump,5618041611029589252054730729488026841892656670819885575184021104063687285505,26130887382342527370344097463886189010428098884985526855655981423919930580040,2023-06-02 06:03:43+00:00,58.0,winner,no
249908,Will OpenSea announce a token by May 31?,901591.0,will-opensea-announce-a-token-by-may-31,0x3af60d1d1e3f89208c9b59d517a304bfbd46c1d1681b9771314f0847b672c6ab,2023-04-05 17:00:18+00:00,2023-05-31 00:00:00+00:00,2023-06-01 08:34:05+00:00,,183.32000732421875,5025.14990234375,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,85451928176697622422402484999998414951293374216699766253801259819390123530530,92326236077891377864088714788106747498785999294783369988326738818776605918436,2023-06-01 08:34:05+00:00,56.0,winner,no
249923,Will Conor McGregor return to the UFC by November 13?,901597.0,will-conor-mcgregor-return-to-the-ufc-by-november-13,0x534a8e1bec2e9872fc90c50a688e50c4534969a0e2dc6998cfe0e6cd1de7afa2,2023-04-05 20:04:12+00:00,2023-11-13 00:00:00+00:00,2023-11-14 09:02:37+00:00,,0.3799999952316284,45443.3515625,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,27892186649127924030824683510780708704699563331315940794194451866100062976346,35036049272820440918821821689535373722995800211298016623557238548359271466510,2023-11-14 09:02:37+00:00,222.0,winner,no
249987,Will N.D. win a plurality in the Greek election?,901608.0,will-nd-win-a-plurality-in-the-greek-election,0x70a168c91d23a9eb9b91fd23eb9dd9c2192d184842891451fe879926eef3e7bb,2023-05-04 15:31:25+00:00,2023-05-21 00:00:00+00:00,2023-07-09 07:47:41+00:00,,3948.18994140625,81789.578125,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://ekloges.ypes.gr/en,108966441100024202324589638925687246343595170596500075577697558693498830542830,99803677383106785039126368535516076494392143067785743777198593633589399432019,2023-07-09 07:47:41+00:00,65.0,winner,yes
249992,Will Milady outperform BAYC?,901611.0,will-milady-outperform-bayc,0x5819358253607d12ee114df83253ba2d4de23c099c50d85585ac4e9ae42a45e0,2023-04-07 19:21:27+00:00,2023-05-31 00:00:00+00:00,2023-05-31 18:03:48+00:00,,0.0,41378.078125,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://pro.opensea.io/collection/milady,74994191219831088738457159070977474461206391177360887491717553823800758482135,65387026861129279604481565448516461287185840224824708372771982737458019213778,2023-05-31 18:03:48+00:00,53.0,winner,yes
