,id,question,eventId,slug,conditionId,startDate,endDate,closedTime,category,liquidityNum,volumeNum,prob_yes,prob_no,lastTradePrice,bestBid,bestAsk,active,closed,marketType,fpmmLive,resolutionSource,clobTokenIdYes,clobTokenIdNo,avg_apy
41,248301,Will $BTC reach $17000 by January 4?,888008.0,will-btc-reach-17000-by-january-4,0xebc2c693e0b225d75cebe4695b10a23c618015668dfa7830e4bf52fa6a685798,2022-12-28 00:00:00+00:00,2023-01-04 00:00:00+00:00,2023-01-05 09:45:39+00:00,,50.0099983215332,1415.510009765625,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,https://www.binance.com/en/trade/BTC_USDT?_from=markets&theme=dark&type=spo,28466589081327985675463181242090623680658034183364727144949943670485864325011,95267669442780372155263053305492422286382725253653482969062045240052101826916,0.19865677160908124
46,248324,Did US GDP grow more than 2.5% in Q4 2022?,897955.0,did-us-gdp-grow-more-than-2pt5-in-q4-2022,0x02e2365ebb79833ef9c33709ecd9f15544dc6c6d2261cb4a9453821ac7bb92ca,2023-01-04 17:15:27+00:00,2023-01-26 00:00:00+00:00,2023-01-26 15:46:12+00:00,,25.0,519.7899780273438,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.bea.gov/data/gdp/gross-domestic-product,5431027315743907773170356781800281564120534874188056565529282291486259765672,19449965470477608456908155515308997636197511936429117009030941559413740036873,0.16817961242316276
50,248365,"Will Ron DeSantis file to run for president by June 30, 2023?",901170.0,will-ron-desantis-file-to-run-for-president-by-june-30-2023,0xe33a4e67ef4f211d35f0ee01558fe91f2befbfefd185342f676e22b7547021f3,2023-01-09 21:24:38+00:00,2023-06-30 00:00:00+00:00,2023-05-24 20:49:02+00:00,,25.010000228881836,63212.69921875,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.fec.gov/,86925547426060562127132501762004204678965963596499896627241203184621126119542,79353809899147235173096757518171822557289513606605542185519749958664440661043,0.028757395413448874
51,248366,VA-4 Special Election: McClellan (D) vs. Benjamin (R),901171.0,va-4-special-election-mcclellan-d-vs-benjamin-r,0xf20e1825339f7e4c0b8868176f7d1f876674a554ef838dbaf266814098887fc2,2023-01-11 21:21:35+00:00,2023-02-21 00:00:00+00:00,2023-02-22 04:17:33+00:00,,25.0,68.5199966430664,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,7159451925409748697249276641584040284266163813199393865973074577829835857018,75291013501899722848235217531443914436020885616190002227325421328559557967920,0.15170449371532652
54,248376,Will Ronna McDaniel be reelected as RNC Chair?,901175.0,will-ronna-mcdaniel-be-reelected-as-rnc-chair,0x4b466c6cb167dd6c2b3ea9f59d5e800d718345a1fb279f7700b6865bc42b6df9,2023-01-13 17:05:43+00:00,2023-01-27 00:00:00+00:00,,,25.0,139.22000122070312,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,65660568982274900204811472469583163308403611143156524041637810017985702988813,31409740269640658697477717892280497715568270600313164168944344959177343527219,0.19413753857714258
58,248488,Will George Santos remain in Congress through March 31?,901222.0,will-george-santos-remain-in-congress-through-march-31,0x0e2e0daf4bd99e12d1ef7f4b5409e50aa1111e006a6a2b538ea3b31287f46759,2023-01-27 00:00:00+00:00,2023-03-31 00:00:00+00:00,2023-04-01 08:05:32+00:00,,25.010000228881836,7181.669921875,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,28751449130778274410846639334728311085824681864411079618339288081485173284401,108087534395094289789949925013940931237669025025876936250100064112132183733961,0.00649119995338351
60,248490,Boxing: Jake Paul vs. Tommy Fury,901224.0,boxing-jake-paul-vs-tommy-fury,0x02823013ae4e640b31d88eef165a8021ab7b6300ca0adbf975d72dedd626bf0e,2023-01-27 22:29:31+00:00,2023-02-26 00:00:00+00:00,2023-02-27 01:17:51+00:00,,19.56999969482422,31398.44921875,0.0,1.0,0.0,0.0,1.0,True,True,normal,True,,31195509212097524605421292025523669499800608021363392222207273729434232900675,25830386375122413841842835652405172282662627165689148198015348642418144639421,0.1653215935816568
69,248596,Will Erdoğan win the 2023 Turkish presidential election?,901259.0,will-erdogan-win-the-2023-turkish-presidential-election,0xddac406b76b46d7998a797fa984c7c7b04812db75b89ecfc49e2fd0d6b9b8a93,2023-02-06 21:19:18+00:00,2023-05-28 00:00:00+00:00,2023-05-29 04:48:39+00:00,,62.97999954223633,4820091.0,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,45684115051063786369424575671570278148366024330058665274769842376099284186094,61779059262007256355647256693654798634992216890386524448184334478854960866382,0.08942737234932911
77,248761,Will Aaron Rodgers be Traded by NFL week 1?,901285.0,will-aaron-rodgers-be-traded-by-nfl-week-1,0x557051063747cbc5b98b058050f98df8e9b1b32d71470c67eaec8fc5541c70bd,2023-02-16 19:24:09+00:00,2023-09-07 00:00:00+00:00,2023-04-26 20:20:04+00:00,,25.0,444.69000244140625,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,,61574320304197252979129732652432545090714667830003694449642786612458038212887,109668347898941040959747559774074132089219986483072933963196106249474972772128,0.04299853143050921
81,248798,Will the price of $BLUR be above $0.50 on February 28?,901295.0,will-the-price-of-blur-be-above-0pt50-on-february-28,0x76e79c9c8ae087cae72ad228de23c9cdbe8b60856233925ee6a808434b1e3921,2023-02-15 23:03:30+00:00,2023-02-28 00:00:00+00:00,2023-03-03 16:21:15+00:00,,25.0,9342.490234375,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.coinbase.com/advanced-trade/BLUR-USD,59861330705732192422554448405194660909823547837401419491334073049300548017670,79902017702683364585981427100871232989516016453817761945766481116706657928654,0.04732732091984835
